expense_id,employee_id,amount,receipt_quality,ocr_confidence,previous_violations,department,category,currency,vendor_country,payment_method,expense_date,submission_date,requires_approval,has_receipt,manual_review_required,vendor_id,vendor_name,notes,approval_status,approval_date,is_violation
1578,1612,4874.68,0.52,0.48,0,Operations,Supplies,INR,IN,UPI,2025-01-19,2025-01-26,1,0,0,2256,VendorA,Justified,Approved,2025-02-08,0
1579,1404,7223.83,0.99,0.93,2,Engineering,Supplies,INR,IN,Net Banking,2025-02-06,2025-02-14,1,1,0,2879,VendorC,Justified,Approved,2025-02-08,0
1580,1345,50527.58262017762,0.97,0.2,3,Marketing,Meals,INR,IN,UPI,2025-01-28,2025-02-03,0,1,0,2774,VendorC,Justified,Approved,2025-02-08,1
1581,1621,6139.43,0.41,0.51,2,IT,Supplies,INR,UK,Cash,2025-01-31,2025-02-08,1,0,0,2386,VendorA,,Approved,2025-02-08,1
1582,1419,3886.6,0.69,0.21,0,Marketing,Supplies,INR,IN,UPI,2025-01-13,2025-01-16,0,0,1,2469,VendorA,Justified,Approved,2025-02-08,0
1583,1181,3114.78,0.27,0.19,1,HR,Travel,INR,IN,Net Banking,2025-01-19,2025-01-19,0,1,0,2030,VendorA,Justified,Approved,2025-02-08,1
1584,1982,346.11,0.15,0.95,3,Marketing,Meals,INR,IN,Cash,2025-01-22,2025-01-28,0,0,1,2386,VendorB,,Approved,2025-02-08,0
1585,1824,138.75,0.77,0.82,2,Marketing,Travel,INR,IN,Cash,2025-01-17,2025-01-18,0,0,1,2272,VendorC,,Approved,2025-02-08,0
1586,1000,2349.36,0.44,0.01,2,IT,Meals,INR,IN,Cash,2025-01-26,2025-02-04,0,0,1,2529,VendorB,Justified,Rejected,2025-02-08,1
1587,1830,4123.42,0.18,0.27,3,IT,Travel,INR,IN,Credit Card,2025-01-12,2025-01-20,1,0,1,2078,VendorC,Justified,Rejected,2025-02-08,0
1588,1949,8527.49,0.76,0.21,2,IT,Meals,INR,IN,Cash,2025-01-19,2025-01-24,0,0,1,2252,VendorC,,Rejected,2025-02-08,1
1589,1566,8004.99,0.92,0.15,0,Marketing,Meals,INR,IN,UPI,2025-01-27,2025-02-04,0,1,1,2886,VendorC,,Rejected,2025-02-08,1
1590,1370,2744.94,0.93,0.7,3,HR,Supplies,INR,IN,UPI,2025-01-16,2025-01-23,0,1,1,2628,VendorB,Justified,Approved,2025-02-08,1
1591,1935,2520.95,0.6,0.57,0,Engineering,Travel,INR,IN,Net Banking,2025-01-16,2025-01-24,0,1,0,2485,VendorC,,Approved,2025-02-08,0
1592,1910,2350.49,0.48,0.45,3,Operations,Meals,INR,IN,Net Banking,2025-01-13,2025-01-19,0,1,0,2354,VendorB,Justified,Rejected,2025-02-08,0
1593,1660,3458.45,0.14,0.19,0,Marketing,Supplies,INR,US,Cash,2025-01-28,2025-01-30,0,0,1,2847,VendorA,,Approved,2025-02-08,0
1594,1430,5032.17,0.79,0.28,1,Engineering,Travel,INR,IN,Credit Card,2025-01-18,2025-01-27,1,0,1,2104,VendorA,,Approved,2025-02-08,0
1595,1968,4442.81,0.95,0.36,1,Engineering,Meals,INR,IN,Net Banking,2025-01-11,2025-01-15,1,1,1,2605,VendorA,Justified,Approved,2025-02-08,0
1596,1308,2260.9,0.89,0.79,2,Marketing,Meals,INR,IN,UPI,2025-01-26,2025-01-28,1,0,0,2098,VendorB,Justified,Approved,2025-02-08,0
1597,1136,1391.47,0.75,0.99,3,Finance,Meals,INR,UK,UPI,2025-01-30,2025-02-01,0,0,1,2755,VendorA,Justified,Approved,2025-02-08,0
1598,1201,224.52,0.0,0.18,3,HR,Supplies,INR,IN,Cash,2025-02-01,2025-02-07,1,1,0,2656,VendorA,Justified,Approved,2025-02-08,1
1599,1435,1624.24,0.41,0.34,0,Engineering,Travel,INR,IN,Net Banking,2025-01-29,2025-02-03,0,0,0,2846,VendorA,,Rejected,2025-02-08,0
1600,1312,7083.03,0.41,0.28,2,Marketing,Meals,INR,IN,UPI,2025-01-18,2025-01-22,0,1,0,2169,VendorA,Justified,Approved,2025-02-08,1
1601,1116,2512.02,0.89,0.04,2,Engineering,Meals,INR,US,Cash,2025-01-27,2025-01-31,1,1,1,2241,VendorC,Justified,Approved,2025-02-08,0
1602,1665,4739.16,0.07,0.22,3,IT,Travel,INR,IN,Net Banking,2025-01-31,2025-02-07,0,0,0,2794,VendorA,,Rejected,2025-02-08,0
1603,1936,5953.88,0.53,0.9,1,Sales,Travel,INR,IN,Credit Card,2025-01-27,2025-01-27,0,0,0,2960,VendorB,Justified,Rejected,2025-02-08,0
1604,1802,8879.72,0.14,0.84,3,Finance,Travel,INR,IN,Credit Card,2025-01-11,2025-01-14,1,0,1,2797,VendorC,Justified,Approved,2025-02-08,0
1605,1574,8899.67,0.66,0.17,3,Operations,Travel,INR,IN,Credit Card,2025-01-27,2025-01-31,1,0,0,2925,VendorA,Justified,Approved,2025-02-08,0
1606,1243,7482.76,0.79,0.37,4,Sales,Meals,INR,IN,Credit Card,2025-01-12,2025-01-20,1,0,0,2251,VendorC,Justified,Rejected,2025-02-08,1
1607,1536,448.05,0.64,0.31,0,Finance,Supplies,INR,IN,Net Banking,2025-01-25,2025-01-25,0,0,0,2068,VendorC,,Rejected,2025-02-08,1
1608,1601,5793.2,0.79,0.15,0,IT,Travel,INR,IN,Net Banking,2025-01-13,2025-01-21,0,0,1,2192,VendorB,Justified,Rejected,2025-02-08,0
1609,1074,7887.18,0.61,0.62,4,IT,Supplies,INR,IN,Credit Card,2025-01-28,2025-02-02,0,0,0,2515,VendorB,Justified,Approved,2025-02-08,1
1610,1805,3026.2654399296853,0.19,0.56,2,Marketing,Supplies,INR,UK,UPI,2025-01-25,2025-01-27,1,1,1,2138,VendorA,Justified,Approved,2025-02-08,0
1611,1385,5541.88,0.38,0.43,0,IT,Supplies,INR,IN,Net Banking,2025-01-25,2025-01-27,1,0,1,2185,VendorC,Justified,Rejected,2025-02-08,0
1612,1902,8591.87,0.96,0.86,2,Marketing,Travel,INR,IN,Cash,2025-01-28,2025-01-31,1,0,1,2140,VendorB,,Rejected,2025-02-08,0
1613,1209,4793.61,0.29,0.62,1,HR,Supplies,INR,US,UPI,2025-02-06,2025-02-10,1,0,1,2777,VendorC,Justified,Approved,2025-02-08,1
1614,1474,140.65,0.06,0.26,2,Marketing,Supplies,INR,US,UPI,2025-01-17,2025-01-25,0,1,1,2875,VendorA,Justified,Approved,2025-02-08,0
1615,1417,2461.649479138302,0.38,0.37,0,Sales,Meals,INR,IN,UPI,2025-01-31,2025-02-05,0,1,0,2727,VendorC,,Rejected,2025-02-08,0
1616,1346,4224.7,0.37,0.15,2,IT,Travel,INR,IN,Credit Card,2025-02-01,2025-02-05,1,1,0,2467,VendorB,Justified,Approved,2025-02-08,0
1617,1528,1634.59,0.47,0.59,1,Engineering,Travel,INR,IN,UPI,2025-01-24,2025-01-29,0,0,1,2273,VendorA,,Rejected,2025-02-08,0
1618,1639,6678.06,0.56,0.59,4,HR,Travel,INR,IN,Net Banking,2025-02-04,2025-02-09,0,1,0,2598,VendorB,Justified,Rejected,2025-02-08,1
1619,1938,114813.16004845446,0.99,0.87,0,IT,Travel,INR,IN,UPI,2025-02-07,2025-02-15,0,0,0,2616,VendorC,Justified,Rejected,2025-02-08,1
1620,1954,1861.01,0.76,0.86,1,HR,Travel,INR,IN,UPI,2025-02-05,2025-02-14,0,1,1,2681,VendorA,Justified,Rejected,2025-02-08,1
1621,1875,8896.48,0.04,0.84,3,Engineering,Meals,INR,IN,Cash,2025-01-18,2025-01-24,1,1,0,2106,VendorA,Justified,Approved,2025-02-08,1
1622,1762,4474.89,0.71,0.55,4,Marketing,Supplies,INR,IN,Cash,2025-02-02,2025-02-08,0,0,1,2098,VendorA,Justified,Approved,2025-02-08,0
1623,1178,1514.17,0.82,0.65,4,IT,Meals,INR,IN,Net Banking,2025-01-20,2025-01-23,1,0,1,2171,VendorA,Justified,Rejected,2025-02-08,1
1624,1181,7666.09,0.9,0.78,0,Sales,Supplies,INR,IN,UPI,2025-02-06,2025-02-10,0,1,1,2829,VendorA,Justified,Approved,2025-02-08,1
1625,1663,7920.75,0.42,0.09,1,Marketing,Travel,INR,IN,Credit Card,2025-01-24,2025-01-30,1,0,1,2858,VendorB,Justified,Approved,2025-02-08,0
1626,1024,6429.03,0.31,0.3,3,IT,Meals,INR,IN,Cash,2025-01-20,2025-01-27,1,1,0,2846,VendorA,,Rejected,2025-02-08,1
1627,1966,8549.31,0.84,0.17,1,Engineering,Travel,INR,IN,Credit Card,2025-01-18,2025-01-23,1,1,1,2663,VendorA,Justified,Approved,2025-02-08,0
1628,1179,7399.99,0.78,0.51,2,IT,Travel,INR,IN,Net Banking,2025-01-20,2025-01-27,1,0,1,2285,VendorB,Justified,Approved,2025-02-08,0
1629,1709,8833.84,0.54,0.84,0,Engineering,Supplies,INR,IN,Net Banking,2025-01-15,2025-01-23,1,0,0,2448,VendorC,Justified,Approved,2025-02-08,1
1630,1500,36380.76266724051,0.12,0.23,2,IT,Supplies,INR,IN,UPI,2025-01-16,2025-01-16,0,0,0,2552,VendorA,Justified,Approved,2025-02-08,1
1631,1855,7501.21,0.65,0.73,2,IT,Supplies,INR,IN,Net Banking,2025-01-30,2025-02-02,1,1,1,2764,VendorA,,Rejected,2025-02-08,1
1632,1160,9997.54,0.07,0.41,4,Finance,Meals,INR,IN,UPI,2025-01-20,2025-01-28,0,0,0,2066,VendorA,Justified,Rejected,2025-02-08,1
1633,1176,7276.82,0.1,0.9,4,HR,Supplies,INR,IN,Credit Card,2025-01-26,2025-01-30,0,0,0,2486,VendorC,Justified,Rejected,2025-02-08,1
1634,1284,1230.42,0.33,0.63,2,Operations,Travel,INR,IN,Credit Card,2025-01-11,2025-01-14,1,1,0,2535,VendorB,,Rejected,2025-02-08,0
1635,1062,5231.36,0.37,0.98,1,Finance,Supplies,INR,IN,Cash,2025-01-31,2025-02-08,1,0,1,2287,VendorB,Justified,Rejected,2025-02-08,1
1636,1661,5914.74,0.46,0.25,0,Finance,Supplies,INR,US,Cash,2025-01-14,2025-01-15,0,0,1,2958,VendorB,,Rejected,2025-02-08,1
1637,1665,1824.69,0.34,0.92,0,HR,Supplies,INR,IN,UPI,2025-01-11,2025-01-12,0,0,1,2643,VendorC,,Approved,2025-02-08,1
1638,1155,114984.73413749928,0.03,0.36,1,Finance,Supplies,INR,IN,Credit Card,2025-01-12,2025-01-19,1,0,1,2993,VendorB,,Rejected,2025-02-08,1
1639,1881,1838.24,0.16,0.62,2,Engineering,Travel,INR,IN,Net Banking,2025-01-15,2025-01-22,0,0,1,2000,VendorA,Justified,Rejected,2025-02-08,0
1640,1468,1857.82,0.12,0.17,0,Finance,Supplies,INR,US,Credit Card,2025-01-18,2025-01-22,1,1,1,2020,VendorB,Justified,Approved,2025-02-08,1
1641,1048,9160.15,0.43,0.76,4,Operations,Travel,INR,IN,Cash,2025-02-02,2025-02-07,1,0,0,2391,VendorB,Justified,Approved,2025-02-08,0
1642,1966,4705.53,0.21,0.98,3,Engineering,Meals,INR,IN,Net Banking,2025-01-29,2025-02-02,1,0,0,2301,VendorC,Justified,Rejected,2025-02-08,1
1643,1848,725.56,0.29,0.79,4,Sales,Meals,INR,US,Cash,2025-01-30,2025-02-06,1,0,0,2139,VendorA,,Rejected,2025-02-08,0
1644,1083,6022.06,0.47,0.62,1,HR,Travel,INR,IN,Net Banking,2025-01-24,2025-01-29,0,0,1,2128,VendorC,Justified,Approved,2025-02-08,1
1645,1360,6058.08,0.24,0.45,3,HR,Meals,INR,IN,Credit Card,2025-01-10,2025-01-15,0,0,1,2405,VendorC,,Approved,2025-02-08,1
1646,1688,738.56,0.25,0.35,0,HR,Supplies,INR,IN,Cash,2025-01-25,2025-01-31,1,1,0,2205,VendorC,Justified,Approved,2025-02-08,1
1647,1147,9727.97,0.83,0.42,0,Engineering,Supplies,INR,UK,Net Banking,2025-02-06,2025-02-07,1,1,1,2472,VendorA,,Approved,2025-02-08,1
1648,1629,5485.9,0.55,0.33,3,HR,Supplies,INR,IN,Cash,2025-01-14,2025-01-22,0,0,0,2667,VendorA,,Rejected,2025-02-08,1
1649,1341,5641.98,0.86,0.83,0,HR,Meals,INR,IN,Credit Card,2025-02-07,2025-02-09,1,1,0,2199,VendorC,Justified,Rejected,2025-02-08,1
1650,1475,5249.14,0.51,0.89,3,Operations,Travel,INR,IN,Cash,2025-01-28,2025-02-05,0,1,1,2063,VendorB,Justified,Approved,2025-02-08,0
1651,1062,6146.24,0.91,0.95,2,IT,Meals,INR,IN,Cash,2025-01-24,2025-02-02,0,1,0,2423,VendorC,Justified,Rejected,2025-02-08,1
1652,1700,2716.57,0.25,0.42,1,Marketing,Meals,INR,UK,UPI,2025-01-13,2025-01-17,0,1,1,2100,VendorA,Justified,Approved,2025-02-08,0
1653,1359,2943.69,0.62,0.55,4,Sales,Travel,INR,IN,Net Banking,2025-01-24,2025-01-24,0,0,1,2728,VendorB,Justified,Approved,2025-02-08,0
1654,1560,69941.58272628697,0.5,0.58,3,IT,Travel,INR,IN,UPI,2025-02-02,2025-02-11,1,0,0,2054,VendorB,,Rejected,2025-02-08,1
1655,1326,8086.19,0.92,0.65,3,IT,Meals,INR,IN,Net Banking,2025-02-07,2025-02-10,1,0,1,2342,VendorA,,Rejected,2025-02-08,1
1656,1768,10990.714213846602,0.42,0.0,2,HR,Meals,INR,IN,UPI,2025-01-22,2025-01-27,0,1,0,2827,VendorC,,Approved,2025-02-08,1
1657,1735,6073.7,0.85,0.84,4,Engineering,Travel,INR,IN,Credit Card,2025-02-05,2025-02-07,1,0,1,2619,VendorA,,Approved,2025-02-08,0
1658,1140,8087.1,0.56,0.27,2,HR,Travel,INR,US,UPI,2025-01-25,2025-01-30,0,0,0,2228,VendorC,Justified,Rejected,2025-02-08,1
1659,1989,1653.48,0.71,0.47,2,IT,Meals,INR,IN,UPI,2025-01-12,2025-01-12,1,1,0,2040,VendorC,,Rejected,2025-02-08,1
1660,1214,248.72,0.89,0.84,1,Operations,Supplies,INR,IN,Net Banking,2025-01-19,2025-01-28,1,1,1,2719,VendorC,Justified,Rejected,2025-02-08,0
1661,1434,55630.21605190041,1.0,1.0,0,HR,Supplies,INR,UK,UPI,2025-01-27,2025-02-05,1,1,0,2058,VendorC,,Rejected,2025-02-08,1
1662,1890,5922.62,0.73,0.79,4,HR,Supplies,INR,IN,Net Banking,2025-01-19,2025-01-27,1,1,1,2451,VendorA,Justified,Approved,2025-02-08,1
1663,1951,1469.0,0.31,0.02,2,HR,Travel,INR,IN,Cash,2025-01-27,2025-02-04,0,0,1,2485,VendorC,Justified,Approved,2025-02-08,1
1664,1722,4318.61,0.3,0.37,0,Engineering,Supplies,INR,IN,Credit Card,2025-01-13,2025-01-16,1,0,0,2931,VendorB,,Approved,2025-02-08,0
1665,1317,5567.98,0.31,0.25,0,Operations,Supplies,INR,UK,Credit Card,2025-01-13,2025-01-14,0,1,1,2800,VendorA,Justified,Rejected,2025-02-08,0
1666,1031,6028.94,0.1,0.96,0,Operations,Travel,INR,US,Net Banking,2025-01-10,2025-01-17,1,0,1,2364,VendorC,,Approved,2025-02-08,0
1667,1669,2816.68,0.05,0.26,0,Marketing,Travel,INR,IN,Cash,2025-02-03,2025-02-09,1,0,0,2492,VendorB,Justified,Approved,2025-02-08,0
1668,1284,4060.29,0.58,0.94,1,Operations,Travel,INR,IN,Credit Card,2025-02-02,2025-02-02,0,1,1,2496,VendorC,Justified,Rejected,2025-02-08,0
1669,1304,7805.56,0.81,0.94,1,Operations,Supplies,INR,UK,Credit Card,2025-01-19,2025-01-24,1,1,0,2221,VendorA,Justified,Rejected,2025-02-08,1
1670,1428,9418.03,0.04,0.84,2,IT,Supplies,INR,IN,Cash,2025-01-16,2025-01-25,0,0,0,2044,VendorB,,Rejected,2025-02-08,1
1671,1476,8632.62,0.57,0.1,0,HR,Supplies,INR,IN,UPI,2025-01-24,2025-01-28,1,1,1,2888,VendorB,Justified,Approved,2025-02-08,1
1672,1285,5686.41,0.37,0.0,2,Sales,Supplies,INR,US,Net Banking,2025-01-11,2025-01-12,1,1,0,2510,VendorC,Justified,Approved,2025-02-08,1
1673,1143,4161.9,0.89,0.79,3,Operations,Travel,INR,IN,Net Banking,2025-02-06,2025-02-10,1,0,0,2074,VendorC,,Approved,2025-02-08,0
1674,1423,3396.27,0.15,0.84,1,Finance,Supplies,INR,US,UPI,2025-01-31,2025-02-05,0,0,0,2049,VendorC,Justified,Rejected,2025-02-08,1
1675,1018,1337.07,0.56,0.96,1,Finance,Travel,INR,IN,Net Banking,2025-01-19,2025-01-28,1,0,0,2046,VendorA,Justified,Approved,2025-02-08,0
1676,1017,1154.86,0.97,0.22,4,Sales,Meals,INR,IN,Cash,2025-02-02,2025-02-07,1,0,1,2460,VendorA,Justified,Rejected,2025-02-08,0
1677,1768,6914.74,0.35,0.73,3,Marketing,Meals,INR,IN,Cash,2025-01-11,2025-01-12,1,0,1,2630,VendorC,,Approved,2025-02-08,1
1678,1589,2671.96,0.74,0.52,1,IT,Meals,INR,UK,Credit Card,2025-01-13,2025-01-13,0,0,1,2683,VendorC,Justified,Approved,2025-02-08,1
1679,1370,2621.15,0.88,0.33,0,Finance,Supplies,INR,IN,UPI,2025-01-22,2025-01-25,1,0,0,2963,VendorB,Justified,Approved,2025-02-08,1
1680,1174,9982.13,0.19,0.61,0,Finance,Travel,INR,IN,Cash,2025-01-21,2025-01-24,1,0,0,2855,VendorB,Justified,Approved,2025-02-08,0
1681,1193,1960.47,0.99,0.55,0,Finance,Meals,INR,IN,Net Banking,2025-01-25,2025-02-02,0,1,0,2032,VendorB,Justified,Rejected,2025-02-08,0
1682,1501,1565.79,0.81,0.29,2,IT,Travel,INR,IN,Credit Card,2025-01-19,2025-01-19,1,1,1,2992,VendorB,Justified,Rejected,2025-02-08,0
1683,1987,1076.98,0.14,0.27,1,HR,Supplies,INR,UK,Cash,2025-01-29,2025-02-07,1,1,1,2331,VendorC,,Approved,2025-02-08,1
1684,1112,5840.07,0.31,0.49,2,IT,Supplies,INR,IN,UPI,2025-01-26,2025-01-26,1,0,0,2276,VendorA,Justified,Approved,2025-02-08,0
1685,1113,6315.85,0.62,0.47,1,Engineering,Meals,INR,US,Cash,2025-01-14,2025-01-21,1,0,0,2992,VendorB,Justified,Rejected,2025-02-08,1
1686,1221,3715.76,0.88,0.3,4,Engineering,Meals,INR,US,Credit Card,2025-01-22,2025-01-26,1,1,0,2173,VendorA,Justified,Rejected,2025-02-08,0
1687,1677,5400.59,0.19,0.26,2,Finance,Meals,INR,IN,Net Banking,2025-02-07,2025-02-15,0,1,0,2224,VendorA,Justified,Approved,2025-02-08,1
1688,1946,7905.16,0.73,0.95,1,Finance,Supplies,INR,IN,UPI,2025-01-16,2025-01-21,0,1,1,2712,VendorA,Justified,Rejected,2025-02-08,1
1689,1830,8199.23,0.27,0.86,4,HR,Supplies,INR,IN,Net Banking,2025-01-13,2025-01-22,1,0,0,2414,VendorB,Justified,Rejected,2025-02-08,1
1690,1643,9583.33,0.81,0.82,1,Marketing,Meals,INR,UK,Cash,2025-01-31,2025-02-02,0,0,1,2061,VendorB,Justified,Rejected,2025-02-08,1
1691,1896,8260.25,0.68,0.21,3,Sales,Supplies,INR,IN,UPI,2025-01-23,2025-01-23,0,0,0,2889,VendorB,,Rejected,2025-02-08,1
1692,1263,5691.93,0.52,0.19,2,Finance,Supplies,INR,IN,Credit Card,2025-01-26,2025-02-04,0,1,0,2733,VendorB,Justified,Approved,2025-02-08,1
1693,1924,1878.6,0.65,0.81,0,Engineering,Meals,INR,UK,Cash,2025-02-01,2025-02-06,1,0,1,2271,VendorC,Justified,Approved,2025-02-08,0
1694,1054,1087.66,0.88,0.18,4,Finance,Supplies,INR,US,Credit Card,2025-01-20,2025-01-22,0,0,1,2779,VendorB,,Rejected,2025-02-08,1
1695,1870,639.67,0.39,0.5,4,HR,Supplies,INR,US,Cash,2025-01-31,2025-02-03,0,1,1,2053,VendorA,Justified,Rejected,2025-02-08,1
1696,1642,6698.61,0.77,0.22,0,Engineering,Travel,INR,IN,Net Banking,2025-01-10,2025-01-12,1,1,1,2879,VendorC,Justified,Rejected,2025-02-08,0
1697,1799,8094.61,0.16,0.38,4,Finance,Travel,INR,IN,Credit Card,2025-01-15,2025-01-21,0,0,0,2392,VendorB,Justified,Rejected,2025-02-08,0
1698,1777,5135.97,0.7,0.85,0,HR,Travel,INR,UK,Net Banking,2025-01-18,2025-01-26,0,1,0,2290,VendorB,Justified,Rejected,2025-02-08,1
1699,1457,641.67,0.75,0.89,0,Marketing,Supplies,INR,IN,Net Banking,2025-01-27,2025-01-31,0,0,1,2692,VendorB,Justified,Approved,2025-02-08,0
1700,1978,5401.16,0.44,1.0,1,Marketing,Supplies,INR,IN,Credit Card,2025-01-15,2025-01-20,0,0,1,2938,VendorA,,Approved,2025-02-08,1
1701,1877,9363.92,0.79,0.94,2,HR,Travel,INR,UK,UPI,2025-01-23,2025-01-27,0,0,0,2325,VendorB,,Rejected,2025-02-08,1
1702,1161,6016.37,0.56,0.67,3,Engineering,Travel,INR,IN,Credit Card,2025-01-26,2025-01-28,0,1,1,2472,VendorA,,Rejected,2025-02-08,0
1703,1379,8113.33,0.94,0.43,4,Engineering,Travel,INR,IN,Cash,2025-01-21,2025-01-23,1,0,0,2311,VendorB,Justified,Rejected,2025-02-08,0
1704,1992,8021.51,0.11,0.06,1,Sales,Meals,INR,IN,Credit Card,2025-01-14,2025-01-17,0,1,1,2447,VendorB,Justified,Rejected,2025-02-08,1
1705,1086,9328.08,0.13,0.61,3,Engineering,Travel,INR,US,Cash,2025-01-26,2025-01-30,0,1,0,2155,VendorA,,Rejected,2025-02-08,0
1706,1054,7725.26,0.84,0.21,3,Marketing,Travel,INR,UK,Credit Card,2025-01-18,2025-01-24,1,0,1,2726,VendorB,Justified,Rejected,2025-02-08,0
1707,1475,7502.24,0.84,0.85,4,HR,Travel,INR,IN,Net Banking,2025-01-20,2025-01-28,0,1,0,2796,VendorB,Justified,Rejected,2025-02-08,1
1708,1799,2417.62,0.47,0.55,4,Engineering,Meals,INR,IN,Credit Card,2025-01-12,2025-01-16,1,0,0,2341,VendorC,Justified,Rejected,2025-02-08,0
1709,1177,693.26,0.96,0.73,1,Marketing,Meals,INR,IN,UPI,2025-02-02,2025-02-03,0,1,0,2377,VendorC,,Approved,2025-02-08,0
1710,1390,5224.23,0.68,0.67,4,Marketing,Supplies,INR,US,Credit Card,2025-01-27,2025-02-04,0,1,1,2441,VendorB,Justified,Approved,2025-02-08,0
1711,1348,1331.9,0.98,0.35,3,Engineering,Travel,INR,IN,Cash,2025-02-02,2025-02-06,1,1,0,2151,VendorA,Justified,Rejected,2025-02-08,0
1712,1007,9625.74,0.53,0.76,4,HR,Travel,INR,IN,Cash,2025-01-20,2025-01-25,0,1,0,2659,VendorA,Justified,Approved,2025-02-08,1
1713,1832,2970.26,0.2,0.84,1,Sales,Supplies,INR,IN,UPI,2025-01-16,2025-01-24,0,0,1,2666,VendorC,,Rejected,2025-02-08,1
1714,1312,8544.15,0.44,0.74,1,HR,Travel,INR,IN,UPI,2025-01-23,2025-01-26,1,0,1,2742,VendorC,Justified,Approved,2025-02-08,1
1715,1758,3937.48,0.98,0.78,1,Engineering,Supplies,INR,IN,Net Banking,2025-01-25,2025-01-27,1,1,0,2736,VendorC,Justified,Approved,2025-02-08,0
1716,1834,3299.62,0.37,0.36,4,Engineering,Travel,INR,IN,UPI,2025-01-15,2025-01-18,1,0,1,2402,VendorA,Justified,Rejected,2025-02-08,0
1717,1983,9358.07,0.96,0.94,2,Marketing,Travel,INR,IN,Credit Card,2025-01-27,2025-02-03,0,1,1,2345,VendorA,Justified,Rejected,2025-02-08,0
1718,1982,3696.89,0.8,0.42,1,Engineering,Travel,INR,IN,Cash,2025-01-21,2025-01-27,0,1,0,2293,VendorA,,Rejected,2025-02-08,0
1719,1442,3963.85,0.44,0.9,2,Sales,Supplies,INR,UK,UPI,2025-01-23,2025-01-29,1,0,0,2571,VendorB,,Approved,2025-02-08,1
1720,1766,1150.31,0.54,0.86,0,Marketing,Supplies,INR,IN,UPI,2025-01-22,2025-01-22,0,1,1,2898,VendorB,Justified,Approved,2025-02-08,0
1721,1327,6737.42,0.61,0.12,1,HR,Supplies,INR,IN,Credit Card,2025-01-23,2025-01-24,1,1,1,2918,VendorB,,Rejected,2025-02-08,1
1722,1053,2959.51,0.67,0.97,2,Operations,Supplies,INR,IN,Net Banking,2025-01-28,2025-01-30,0,0,0,2108,VendorC,Justified,Approved,2025-02-08,0
1723,1760,5897.48,0.08,1.0,2,IT,Supplies,INR,IN,Cash,2025-01-13,2025-01-13,0,1,0,2826,VendorC,Justified,Rejected,2025-02-08,0
1724,1238,5954.38,0.93,0.61,3,Finance,Meals,INR,IN,Net Banking,2025-01-23,2025-01-31,1,0,1,2730,VendorC,Justified,Rejected,2025-02-08,1
1725,1228,7220.08,0.6,0.78,2,IT,Supplies,INR,IN,UPI,2025-01-30,2025-02-07,1,0,1,2090,VendorC,Justified,Rejected,2025-02-08,0
1726,1578,47948.02506457644,0.93,0.93,3,Sales,Travel,INR,IN,Cash,2025-01-24,2025-01-28,0,0,0,2073,VendorC,Justified,Rejected,2025-02-08,1
1727,1050,5193.08,0.63,0.02,2,HR,Meals,INR,IN,UPI,2025-01-13,2025-01-16,0,1,0,2279,VendorA,Justified,Approved,2025-02-08,1
1728,1608,3376.82,0.43,0.93,2,Marketing,Meals,INR,IN,Credit Card,2025-01-21,2025-01-23,1,0,0,2439,VendorB,Justified,Approved,2025-02-08,0
1729,1603,8390.76,0.57,0.63,0,Operations,Meals,INR,IN,Cash,2025-01-31,2025-02-08,0,0,1,2691,VendorC,Justified,Approved,2025-02-08,1
1730,1263,3167.67,0.83,0.83,2,Sales,Meals,INR,US,Net Banking,2025-01-21,2025-01-22,1,0,1,2228,VendorB,Justified,Rejected,2025-02-08,0
1731,1417,5124.34,0.33,0.54,4,Marketing,Supplies,INR,IN,Cash,2025-01-13,2025-01-20,0,0,1,2552,VendorB,Justified,Approved,2025-02-08,0
1732,1802,50012.429649633064,0.96,0.53,4,HR,Travel,INR,IN,UPI,2025-02-05,2025-02-11,0,0,0,2193,VendorC,,Approved,2025-02-08,1
1733,1095,8565.28,0.47,0.9,4,Engineering,Supplies,INR,US,Credit Card,2025-02-03,2025-02-04,0,1,1,2353,VendorA,,Rejected,2025-02-08,1
1734,1087,4375.99,0.96,0.51,0,Sales,Supplies,INR,IN,Credit Card,2025-02-06,2025-02-08,0,0,1,2917,VendorA,Justified,Rejected,2025-02-08,1
1735,1077,3922.38,0.88,0.47,2,Finance,Meals,INR,IN,Net Banking,2025-01-14,2025-01-15,1,0,0,2880,VendorA,Justified,Approved,2025-02-08,0
1736,1287,6929.25,0.77,0.61,0,IT,Supplies,INR,IN,Net Banking,2025-01-28,2025-01-30,0,0,0,2113,VendorA,,Rejected,2025-02-08,1
1737,1119,6064.17,0.47,0.52,2,HR,Meals,INR,UK,UPI,2025-01-20,2025-01-23,1,1,0,2961,VendorB,,Rejected,2025-02-08,1
1738,1813,1161.74,0.59,0.45,3,Operations,Supplies,INR,IN,Cash,2025-01-16,2025-01-20,1,1,0,2027,VendorA,Justified,Rejected,2025-02-08,0
1739,1490,5130.87,0.84,0.18,0,Engineering,Meals,INR,IN,Credit Card,2025-02-06,2025-02-07,0,0,0,2743,VendorA,Justified,Approved,2025-02-08,1
1740,1911,7381.24,0.54,0.4,4,Operations,Meals,INR,IN,Credit Card,2025-01-21,2025-01-27,1,1,0,2105,VendorC,,Rejected,2025-02-08,1
